c0    e_fci    e_hf    ansatz_energy    HF+CS    HF+meas_diag    pauli_all    pauli_qbw    CCSD
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.9239176408503447+0.07116489951814252j)    -1.846989428443048    -1.9399970095233385    -1.8814414282645846    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.920352788857777-0.1490620097647061j)    -1.8963834224708327    -1.9063805543454218    -1.9289402129324091    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8433334140314968-0.028841072077170744j)    -1.9108142254499352    -1.8802594288477474    -1.8235270982885823    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8589557049937748-0.04428742056569107j)    -1.9034475046096122    -1.8549798003789417    -1.9876539108082296    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8464522826540875+0.030083961405754235j)    -1.8226276690535466    -1.904919135289849    -1.9537648641853003    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.9127987898389414+0.032366807602979546j)    -1.8800111767414287    -1.9020847365813935    -1.8181178778986826    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.9364444774503047-0.2131239533296148j)    -1.8908099693954696    -1.9142858948297101    -1.8692373602986772    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.9472804643779675+0.08777421406722007j)    -1.9249098961696607    -1.89241552692697    -1.8485768242928913    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.9025766435726874-0.04373709367504872j)    -1.8919383894644026    -1.9586259889971942    -1.8850221239269676    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8680742685569283+0.06359124205724093j)    -1.9004715734850632    -1.9360250580912688    -1.883005218237906    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8727617648872623-0.05754157430455035j)    -1.9890255430359824    -1.9833215599146266    -1.8231132430970813    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.9857348626613474+0.07870730898953689j)    -1.8687879249924106    -1.9050148631965445    -1.920480151322729    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.926170822963023-0.14693574537500653j)    -1.866650325807432    -1.8782630625043872    -1.8844407299531674    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8911896303159548+0.009622862565631553j)    -1.8976166542540152    -1.8668474248618232    -1.8107685020335493    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8375904869971598+0.06294499162941637j)    -1.922503734226619    -1.869824794736873    -1.9017591846775321    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8220802419375388-0.0892784257400252j)    -1.9094257176056382    -1.922933535723866    -1.9358611537539394    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.9274262475027621+0.03512262664711798j)    -1.9429013666254569    -1.8090906033156755    -1.8735095355514388    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.9085255427681653-0.06942836510166409j)    -1.8448883694687688    -1.9116085778075063    -1.878465007699514    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8817915355205717+0.09055486321994746j)    -1.9438760460466593    -1.785897681046617    -1.9768450697962832    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.886095791330035+0.008519297539910379j)    -1.885036644504424    -1.8258110651817219    -1.8422794830205464    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.879364976015713-0.04540686244176651j)    -1.9078343383324345    -1.8409475571352714    -1.9726298028274798    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8933299622531126-0.04385415258225532j)    -1.8849326629542484    -2.0201176564112684    -1.7642326589039095    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.9427096451563144-0.07193189878410552j)    -1.9353150892351951    -1.9765375143970723    -1.996719564567551    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8634496934425477-0.022316348317265998j)    -1.9022803257479577    -1.9452652007308986    -1.87705544635993    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8653755042802933-0.010251431461186924j)    -1.907292912525233    -1.8501818218854813    -1.911824699731592    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.9167603063388026-0.013149213176317238j)    -1.8643635649249646    -1.882047672139546    -1.8819171712476457    -1.9160861180398077
